Covidence number,Input,Study design summary
#17161,"Four programs in the Chesapeake Bay region were analyzed in order to identify how alternative delivery models that incorporate pay for performance1 are being utilized in local government stormwater programs, and whether those approaches are likely to deliver better outcomes than traditional approaches. The analysis was carried out via a literature review and series of interviews with staff from each program and professionals with relevant expertise in this field of work. // ",The study design uses a literature review and interviews with key stakeholders.
#17223,"The main outputs of the CBO evaluation produced since the last update report in 2016 that this report draws on are as follows:  Stakeholder consultations (4) including telephone and face-to-face consultations with organisations centrally involved in the policy development, strategic development and operational delivery of SIBs in England, and stakeholder engagement meetings and events  Stakeholder surveys involving a qualitative survey with investors, conducted either through face to face or telephone interviews (18 responded); and an online survey with commissioners (91 commissioners responded) and service providers (77 responded) either involved in, or informed about, the SIB agenda. A full account of the survey findings can be found here.  In-depth review reports produced for the West London Zone (WLZ) (available here) and HCT Travel Training SIBs (available here)  The LOUD report (available here), summarising the four factors essential in ensuring whether a SIB is launched  Tele-consultations with 20 CBO applicants who did not proceed with a SIB  A review of findings to date from the local evaluations of CBO-funded SIBs  A review of National Lottery Community Fund Management Information and internal work  Findings from a CBO learning seminar  An investor breakfast meeting  Review of wider literature // The main outputs of the CBO evaluation produced since the last update report in 2016 that this report drawson are as follows:  Stakeholder consultations, including telephone and face-to-face consultations with organisations centrally involved in the policy development, strategic development and operational delivery of SIBs in England. These consultations repeat and update consultations first undertaken in the early stages of the evaluation in 2014. The evaluation consulted with four stakeholders  Stakeholder surveys involving a qualitative survey with investors, conducted either through face to face or telephone interviews (18 responded); and an online survey with commissioners (91 responded) and service providers (77 responded) either involved in, or informed about, the SIB agenda. These surveys were conducted in the second half of 2017 and reflect changes and developments in views captured in baseline surveys that were again conducted in the early stages of the evaluation in 2014. A full account of the survey findings can be found in here.  In-depth review reports produced for the West London Zone (WLZ) (available here) and HCT Travel Training SIBs (available here)  The LOUD report (available here), produced jointly by Ecorys UK and the Policy Innovation Research Unit (PIRU). This examined the reasons why 25 areas did, or did not, set up a SIB and summarised the four factors that were essential in ensuring whether a SIB was launched. This report is referred to as the LOUD report after these four factors which are: collective Leadership; clear Outcomes; shared Understanding; and Data  Tele-consultations with 20 CBO applicants who did not proceed with a SIB to identify the reasons why the SIB did not go ahead  A review of findings to date from the local evaluations of CBO-funded SIBs  A review of National Lottery Community Fund Management Information and internal work, including surveys of CBO applicants and intermediaries  Findings from a CBO learning seminar held in July 2017 with commissioners and service providers involved in CBO-funded SIBs.  An investor breakfast meeting held in October 2018 with SIB social investors, to discuss the findings from the investor survey. A blog post summarising the discussion can be found here. We also reviewed the findings from significant research that has been published since our last update report. // ","The study design uses dtakeholder consultations, surveys, group discussions, and a literature review."
#17227,"the research adopts an inductive approach and presents a case study analysis of the world’s first successful DIB in education, Educate Girls Development Impact Bond. // This case study also seeks to illustrate the Educate Girls DIB to depict its weaknesses and strengths, thus allowing a more informed discussion about the key elements of a successful DIB. // this paper adopts an inductive approach (Eisenhardt, 1989b) and presents a case study analysis (Yin, 2014) of the world’s first successful DIB in education, Educate Girls (EG) // The literature review that follows will consider the most recent publications on the subject to give an accurate depiction of DIB's structure, functioning and field of application. //",The study design follows a literature review and a case study.
#17302,"the report uses the best publicly available data in the attempt to give a broad overview of the evolution of global SIB market. // Interviewees","The study consists of an independent synthesis of publicly available data, and interviews."
#17330,"To generate conceptual tools capable of advancing such a critical analysis, this thesis uses a Foucault-inspired analytics of governmentality framework // In this thesis, I develop three case study projects that are geared towards tackling: (i) homelessness in London (UK), (ii) socioeconomically patterned health conditions in Newcastle upon Tyne (UK), and (iii) the gender gap in education in the Bhilwara district of Rajasthan (India). // I employed three different methods of data collection. The first consists of document analysis. I systematically collected both textual and visual representations of the case study projects, mostly academic, policy and industry-based reports, but also newspaper articles, YouTube films, recordings of management seminars, podcasts, and even actual impact bond contracts—all forms of documented information that can serve as a source for explaining human thought, feeling, and action (Glynos & Howarth, 2007; Mayring, 2000). // the second method consisted of semi-structured interviews with actors involved in both the contracting and operation of impact bonds. Using a semi-structured interview guide, 27 interviews were conducted with stakeholders of the case study projects as well as five additional interviews with external professionals to contrast the perspectives recorded. // the third method followed an ethnographic approach. //  I recorded subjective and momentary perceptions of infrastructure, locality, and ‘moods’ in an observational protocol to make social practices visible ‘from the “inside”’","The study follows three case studies with three methods of data collection: document analysis, 32 semi-structured interviews, and ethnography/participant observation."
#17340,"This document serves as an update to CNCS’ April 2015 publication, Social Innovation Fund: State of the Pay for Success Field, and offers a snapshot of the 2015 PFS landscape including themes within recent literature, PFS-related tools and resources, and new PFS projects implemented since the last report. The report content is fully based on publicly available sources of information. // reviews recent published literature on PFS and how it fits within the existing body of knowledge on PFS. // then provides updates on existing PFS projects in the United States // ",The study follows a literature review and a series of short case studies.
#17351,"this study of Social Impact Bonds utilized a review of existing research literature, published reports, and other relevant public documents. In addition, interviews were conducted with experts in related fields, including leaders in Maine economic development and philanthropic investment. Findings from these various sources were compiled into this final report. // ",The study design uses a literature review and interviews.
#17395,"To this end, the paper will review select performance agreements executed between public entities and private companies towards service delivery in sanitation and related sectors such as water supply and solid waste management and discuss their effectiveness in achieving desired goals with respect to access, quality, reliability, equity and sustainability. With these case examples, the paper complements existing literature on the imperatives for strengthening performance-based contracts. // ",The study design is based on extensive discussion of performance-based contracting approaches; 3 case studies of PPPs.
#17421,"The report’s insights are drawn from 12 in-depth case studies of ALMPs using RBF, a comprehensive mapping of all such programs in low- and middle-income countries, and a review of the literature assessing ALMPs. The report also draws on Instiglio’s practical experience designing and implementing RBF projects for ALMPs and other social programs across various contexts. // ","The study design follows 12 in-depth case studies,  literature review, and the authors' practical experience."
#17444,"This report pulls from PFS contracts and other publically available documents, interviews with stakeholders, and incorporates information and observations gleaned by NFF through its more than five years of experience as a field builder, funding intermediary for PFS project development, and investor. // ",The study is based on document review and interviews with stakeholders.
#17699,"A more detailed assessment of five PPP projects was consequent- ly undertaken to evaluate the underlying rationale of the initiatives; the preparatory and bid process; key contract provisions; risk allocation and related issues that may have a bearing on the operational trajectory; and impact the achievement of objectives. // These five cases represent urban water PPP projects undertaken in India between 2005 and end of 2011, with a full city distribution focus // ",The study consists of five case studies of urban water PPP projects undertaken in India between 2005 and end of 2011. It contains overview of observations and lessons learned from these case studies.
#17743,"To achieve the research objectives, the study used a series of semi-structured face-to- face interviews to explore the perceptions and experiences of project beneficiaries and key stakeholders involved in the design, delivery and operation of the programme. // a total of 204 face-to-face interviews were conducted across the ten IF projects. In total, 104 interviews were conducted with key stakeholders: 18 with investors, 11 with intermediaries, 24 with delivery managers, 25 with schools, 24 with frontline, client- facing staff and two with other stakeholders. // A total of 100 young people who had participated in Round One and Round Two IF projects were also interviewed. // ",The study design is based on interviews with 104 key stakholders and 100 programme participants.
#17752,"This report presents the findings from the quantitative evaluation of the Innovation Fund (IF) pilot // The quantitative evaluation of the IF pilot included an impact assessment and a Social Return on Investment (SROI) analysis. The impact assessment consisted of two separate analyses: one estimated the IF impact using mostly information from a survey of IF participants and a matched sample of non-participants, while the other relied exclusively on administrative data from the National Pupil Database (NPD) and Individualised Learner Record (ILR). The SROI analysis relied on impact estimates and financial information (invoicing and contractual data) supplied by DWP. The survey-based analysis explored the impact of the pilot on the likelihood of Round One participants aged 14-18 being in education, employment or training around one year after starting on the pilot. The analysis based on administrative data investigated the IF impact on the likelihood of participants from either rounds aged 14-15 experiencing three educational outcomes (first NQF level 1, 2 and 3 qualifications) and two behavioural outcomes (persistent absenteeism and exclusion from school). The analysis of administrative data estimated impacts separately for three cohorts of participants (starters in November 2012-April 2013, November 2013-April 2014 and November 2014-April 2015), and impacts were explored for up to three years after individuals started on the programme (with follow-up being longest for the earliest cohort). Both impact analyses used a Propensity Score Matching (PSM) approach to identify a comparison group // ","The study is based on impact evaluation comparing data of intervention group against a comparator constructed using propensity score matching ( quasi-experimental). In addition, it covers a social return on investment analysis to explore costs/benefits of the programme."
#17753,"The report is based on a review of documents provided by stakeholders and consultations with key stakeholders involved in the SIB, including representatives from WLZ, BFM, Hammersmith and Fulham Council, BWB Impact and Advisory, Phoenix Academy, Ark Burlington Dames Academy, two service providers and a representative from the philanthropy donations. Consultation took place during 2017, during the first year of implementation for WLZ.",The study design uses document review and stakeholder consultations.
#17760,"The evaluation is based on an evaluation framework that builds on a range of hypothesised DIB effects and indicators. As part of the inception phase, the evaluation team drew on the literature in order to understand hypotheses around how the DIB model might affect interventions and developed a list of DIB effects. The focus of the evaluation is the DIBs funding mechanism. The evaluation is interested in understanding the ‘DIB effect’, that is, the effect of using a DIB instead of a grant or other PbR mechanism. A key challenge is trying to isolate the effect of the DIB from other factors on the different stakeholders and phases, and from the PbR effect. We use a combination of process tracing and comparative analysis to achieve this. The evidence base for this research wave is derived from the consultations and programme document review undertaken at the individual DIB level, the programme level and sector level. // We use process tracing to assess the DIB effect (EQ1). Process tracing is a qualitative research method for assessing causal inference within small-n studies. // In the evaluation, we compared the presence of DIB effect indicators in both the DIB areas and comparison sites to assess the extent to which the ‘DIB effect’ was more prevalent in the DIBs compared to the comparison sites. We then undertook qualitative research to assess the extent to which the presence of the ‘DIB effect’ could indeed be attributed to the DIB, compared to other factors. Our process tracing approach relies on the following five steps. 1. Creation of ‘DIB effect’ indicators (process induction) 2. Examine presence of indicators in DIB areas 3. Examine presence of indicators in non-DIB areas 4. Analyse difference between DIB and non-DIB areas 5. Process verification // ","The study design includes process tracing and comparative analysis, literature review, interviews, and workshops including findings from non-DIB comparator sites."
#17763,"The research for this study consisted of a systematic review of the literature, more than 70 structured and informal interviews, and online surveys of 30 individuals. The interviews and surveys captured multiple representatives of the actors involved in every SIB contracted as of March 1, 2015, as well as interviews with other key players in this area // The research for this study consisted of three components. The first component was a comprehensive review of the literature on impact bonds, including reports, working papers, white papers, articles, blog posts, and opinion editorials. // The second component comprised a series of unstructured interviews with key players in the impact bond arena, including academics, foundations, investors, and intermediaries. The third consisted of structured interviews that were conducted via a survey completed online (using the survey platform Qualtrics), in person, or over the telephone that targeted one representative of each of the key stakeholders (investors, intermediaries, service providers, outcome funders) in each of the 38 social impact bonds included in the study. // In addition, we held five private events on impact bonds from which we gathered ideas and viewpoints from a variety of stakeholders. // ","The study design follows interviews, an online survey, and a systematic review of the literature."
#17783,"Our publications pull from contracts, other publicly available documents, interviews with stakeholders, and observations gleaned through our more than eight years of experience as a PFS field builder and market developer, grant administrator, and investor. // ",The study uses document review and interviews with stakeholders.
#5792,"The report’s findings are drawn from a comprehensive review of best practices and in-depth interviews with experts and thought leaders involved in the deployment, financing and market development of sustainable infrastructure. Interview participants included representatives from the public, private and non-profit sectors and experts in complementary fields including social impact investing, renewable energy, and community-development finance. // ","Findings are drawn from a comprehensive review of best practices and 19 in-depth interviews with experts and thought leaders. The study covers 4 case studies, including one on DC Water case study."
#6940,"This study used a qualitative research design to identify patterns in the collected data and allow theories to be drawn from the emergent categories and themes. Ten in-depth interviews were conducted with a diverse pool of facility managers, energy practitioners, superintendents, and associate superintendents working with EMaaS. // This study uses a qualitative research methodology to organize and identify patterns among categories in the collected data. Grounded theory is used, allowing theories to emerge from the collected data. // A questionnaire was given to ten faculty members in eight California educational institutions, including facility managers, energy managers, sustainability managers, superintendents, and assistant superintendents. // During the interviews, a questionnaire was followed and filled out by the researcher. // A questionnaire will guide in-depth interview to explore the service performance of EMaaS in California schools. // ",The study follows 10 interviews with accompanying questionnaire. 
#7407,"we interviewed DOE'S Deputy Assistant Secretary for Procurement and Assistance Management and officials from planning and procurement organizations at DOE'S Hanford, Idaho Falls, Rocky Flats, and Savannah River sites. We also reviewed the procedures and other documentation provided by these officials. We also reviewed OIG reports on the performance-based incentives at the Hanford, Rocky Flats, and Savannah River sites and DOE'S assessments of contract reform and performance-based incentives. To determine whether the proposed corrective actions had been implemented, we reviewed the fiscal year 1998 incentives developed at the four sites and compared them with prior years' incentives. // we interviewed DOE'S planning and procurement personnel at the four sites. We also reviewed DOE'S September 1997 strategic plan, the site strategic and management plans, including the plans known as Accelerating Cleanup: Paths to Closure plans (formerly called the 10-year plans) at the four sites. We reviewed documentation provided by DOE to demonstrate the linkage among these various levels of planning documents. To determine how fees are allocated among incentives, we interviewed DOE personnel, reviewed procedures, and reviewed the individual performance incentives and supporting documentation. // we interviewed DOE personnel at the four sites, reviewed procedures and other documentation provided by them, and reviewed supporting documentation for completed incentive measures. In addition, we interviewed DOE'S Deputy Assistant Secretary for Procurement and Assistance Management.","The study focuses on the evaluation of performance-based incentives across four sites, involved semi-structured interviews and a document review."
#7725,"This note summarizes the experiences gained from implementing the pilots in China and Indonesia (Zhang 2014). // surveys // ",The study uses case studies of two pilot programs  by summarizing the experiences gained from implementing the pilots. It includes summary results of a household survey for one case.
